id,true_freq_hz,waveform,amplitude,snr_db,est_freq_hz,error_pct,success,iterations,elapsed_ms
1167,83126.71,triangle,0.1949,36.78,83173.83,0.056684,1,27,24.96
1168,67430.29,triangle,0.4267,37.59,67465.82,0.052699,1,24,24.49
1169,72811.79,sine,0.4670,37.73,72856.45,0.061332,1,14,13.83
1170,5672.47,triangle,0.7112,32.63,5737.30,1.142909,1,126,106.18
1171,27785.37,sine,0.9479,25.97,27890.62,0.378827,1,25,23.70
1172,77775.02,square,0.2253,20.21,77783.20,0.010516,1,7,8.55
1173,54881.48,triangle,0.4322,27.14,54946.29,0.118096,1,20,22.39
1174,35065.07,square,0.4966,37.60,35170.90,0.301805,1,18,22.35
1175,51046.56,square,0.2245,39.65,51162.11,0.226364,1,23,29.84
1176,25747.32,sine,0.6968,31.91,25854.49,0.416261,1,8,8.29
1177,42099.42,square,0.8066,23.91,42114.26,0.035245,1,16,22.07
1178,82205.08,square,0.4771,29.16,82304.69,0.121171,1,17,24.63
1179,26408.07,triangle,0.5616,26.42,26479.49,0.270443,1,42,42.93
1180,60008.96,triangle,0.4917,38.41,60058.59,0.082708,1,61,59.46
1181,35156.67,sine,0.2838,28.37,35273.44,0.332143,1,17,13.85
1182,22743.86,sine,0.9235,36.88,22851.56,0.473555,1,1,1.44
1183,74486.93,sine,0.2083,21.35,74536.13,0.066054,1,6,6.58
1184,72678.89,triangle,0.4875,22.38,72729.49,0.069625,1,30,31.52
1185,51726.89,square,0.4373,32.43,51767.58,0.078661,1,19,30.13
1186,72153.09,sine,0.1320,39.89,72226.56,0.101824,1,17,14.36
1187,24040.11,sine,0.2709,20.78,24096.68,0.235328,1,32,29.88
1188,39789.28,triangle,0.4071,28.88,39868.16,0.198258,1,6,8.16
1189,67883.09,square,0.8753,37.32,67983.40,0.147766,1,4,6.55
1190,1981.16,triangle,0.5147,39.78,1992.19,0.556677,1,225,212.79
1191,48839.98,triangle,0.7791,24.97,48852.54,0.025724,1,16,22.27
1192,54301.10,triangle,0.8718,21.95,54340.82,0.073143,1,2,2.32
1193,70930.83,square,0.1063,28.07,71069.34,0.195272,1,6,7.88
1194,24240.69,triangle,0.4036,36.55,24316.41,0.312361,1,29,30.46
1195,1059.20,sine,0.3170,24.67,,,0,260,171.51
1196,7750.48,sine,0.6000,25.83,7885.74,1.745271,1,38,35.19
1197,42322.08,square,0.8883,38.11,42358.40,0.085806,1,14,20.70
1198,49802.74,sine,0.1961,39.07,49843.75,0.082344,1,9,9.47
1199,6962.47,sine,0.3683,26.41,7080.08,1.689208,1,71,69.40
1200,17264.40,triangle,0.2102,32.70,17348.63,0.487914,1,38,40.64
1201,13260.76,sine,0.9185,23.80,13359.38,0.743686,1,57,70.27
1202,82303.77,square,0.1701,39.11,82387.70,0.101976,1,2,2.38
