id,true_freq_hz,waveform,amplitude,snr_db,est_freq_hz,error_pct,success,iterations,elapsed_ms
1070,8627.77,square,0.2141,27.83,8764.65,1.586442,1,2,2.01
1071,4090.56,triangle,0.2879,21.17,4116.21,0.627187,1,80,63.67
1072,11494.96,square,0.8847,31.54,11621.09,1.097326,1,21,20.33
1073,7564.14,triangle,0.5863,21.59,7641.60,1.024114,1,48,50.87
1074,11751.16,triangle,0.4567,25.93,11860.35,0.929193,1,14,15.52
1075,3725.92,sine,0.4895,31.91,3896.48,4.577788,1,95,87.68
1076,2531.69,triangle,0.7796,31.73,2548.83,0.676837,1,187,140.56
1077,16740.33,sine,0.5292,32.60,16811.52,0.425252,1,48,40.64
1078,16744.41,triangle,0.3494,38.82,16811.52,0.400840,1,48,51.36
1079,3362.57,triangle,0.9738,23.54,3383.79,0.631008,1,130,120.24
1080,14719.26,sine,0.4649,30.33,14809.57,0.613585,1,24,22.43
1081,12032.26,triangle,0.7050,29.63,12133.79,0.843813,1,6,5.02
1082,16383.83,triangle,0.1199,39.65,16489.26,0.643513,1,54,50.87
1083,2636.51,triangle,0.3523,22.64,2651.37,0.563493,1,180,139.09
1084,9357.26,square,0.4429,21.09,9433.59,0.815801,1,85,94.15
1085,12389.76,triangle,0.4449,24.33,12480.47,0.732113,1,77,60.95
1086,9408.97,sine,0.8384,36.53,9501.95,0.988244,1,83,77.41
1087,12172.01,square,0.8198,31.09,12304.69,1.090031,1,1,1.34
1088,16692.71,square,0.8060,31.97,16811.52,0.711745,1,48,59.77
1089,8868.68,triangle,0.5870,32.10,8955.08,0.974190,1,99,96.99
1090,5189.27,square,0.6144,23.70,5273.44,1.622048,1,145,141.48
1091,2132.15,square,0.7873,30.47,2241.21,5.114830,1,208,173.93
1092,5308.68,square,0.1721,28.84,5395.51,1.635584,1,140,118.85
1093,4103.97,sine,0.2821,27.73,4277.34,4.224578,1,69,56.64
1094,1971.85,square,0.5605,29.67,2065.43,4.745574,1,220,176.24
1095,8272.90,triangle,0.2308,30.11,8374.02,1.222371,1,18,20.64
1096,2178.79,sine,0.6165,31.32,2270.51,4.209723,1,206,155.42
1097,17682.64,square,0.9638,20.97,17778.32,0.541116,1,30,40.67
1098,2862.15,sine,0.2667,30.83,2988.28,4.407016,1,157,127.83
1099,13265.87,sine,0.9514,36.84,13359.38,0.704843,1,57,56.17
1100,6635.64,sine,0.2529,22.54,6738.28,1.546861,1,85,71.36
1101,3342.39,square,0.3213,27.16,3515.62,5.182911,1,121,123.84
1102,19800.60,triangle,0.9541,22.85,19868.16,0.341216,1,48,42.34
1103,8260.65,square,0.1691,20.08,8398.44,1.667998,1,17,17.63
1104,13738.25,square,0.4697,29.79,13842.77,0.760803,1,46,58.72
1105,8893.42,sine,0.4018,23.54,8989.26,1.077660,1,98,88.00
1106,2870.06,triangle,0.6394,34.57,2885.74,0.546421,1,164,157.55
1107,6991.91,square,0.3132,21.94,7104.49,1.610162,1,70,83.65
1108,4401.60,triangle,0.7098,30.94,4438.48,0.837774,1,58,55.50
1109,10026.71,triangle,0.1655,25.61,10117.19,0.902389,1,65,64.43
1110,7648.82,triangle,0.9933,24.81,7739.26,1.182386,1,44,45.74
1111,17611.84,triangle,0.3022,27.99,17724.61,0.640308,1,31,35.66
1112,8783.78,triangle,0.2628,35.98,8789.06,0.060088,1,1,1.18
1113,7349.66,triangle,0.4780,31.57,7446.29,1.314720,1,56,60.61
1114,16819.62,triangle,0.8798,21.19,16918.95,0.590510,1,46,42.94
1115,14148.96,sine,0.4742,30.97,14238.28,0.631288,1,37,29.48
1116,8652.05,square,0.9969,22.70,8789.06,1.583582,1,1,1.13
1117,13833.66,square,0.2197,23.17,13930.66,0.701182,1,44,52.49
1118,19036.19,triangle,0.9163,39.83,19121.09,0.446017,1,5,4.36
1119,4957.99,square,0.7023,29.68,5200.20,4.885100,1,6,6.98
1120,8949.40,square,0.6344,31.51,9057.62,1.209199,1,96,115.40
1121,4067.70,square,0.5981,31.41,4277.34,5.153894,1,69,64.44
1122,4992.04,triangle,0.1227,27.10,5024.41,0.648581,1,18,16.10
1123,15824.04,square,0.3350,33.90,15898.44,0.470153,1,65,83.32
1124,11780.43,triangle,0.7615,32.20,11894.53,0.968584,1,13,13.57
1125,10275.38,sine,0.3352,28.38,10356.45,0.788969,1,58,44.93
1126,12386.69,square,0.3594,20.13,12480.47,0.757122,1,77,87.33
1127,10428.55,sine,0.7611,20.48,10527.34,0.947386,1,53,56.25
1128,12111.73,triangle,0.2570,29.43,12236.33,1.028753,1,3,3.99
1129,2737.02,square,0.5955,28.15,2871.09,4.898613,1,165,162.27
1130,10906.16,triangle,0.2767,20.45,11005.86,0.914125,1,39,40.36
1131,17371.63,square,0.9016,31.94,17509.77,0.795163,1,35,47.17
1132,16393.06,square,0.7749,38.26,16489.26,0.586816,1,54,68.25
1133,11870.34,sine,0.3419,23.97,11997.07,1.067653,1,10,8.32
1134,5690.28,sine,0.5996,31.76,5786.13,1.684438,1,124,103.96
1135,9103.50,square,0.1734,21.76,9194.34,0.997867,1,92,114.83
1136,4264.76,square,0.2926,25.67,4467.77,4.760261,1,56,58.45
1137,8605.94,triangle,0.1125,32.99,8715.82,1.276750,1,4,4.38
1138,13708.65,triangle,0.9395,20.40,13798.83,0.657789,1,47,43.19
1139,3921.89,triangle,0.5127,31.29,3940.43,0.472713,1,92,86.68
1140,13597.52,triangle,0.9386,39.94,13710.94,0.834128,1,49,49.12
1141,14682.99,sine,0.8918,20.98,14809.57,0.862076,1,24,26.85
1142,5390.54,triangle,0.3306,24.41,5444.34,0.998040,1,138,125.80
1143,3624.38,triangle,0.5501,33.50,3647.46,0.636809,1,112,110.69
1144,5542.26,triangle,0.7840,26.25,5590.82,0.876159,1,132,121.16
1145,8802.97,sine,0.9789,32.91,8886.72,0.951369,1,101,141.58
1146,18756.33,sine,0.8037,35.32,18852.54,0.512922,1,10,17.92
1147,14141.46,triangle,0.4542,22.61,14238.28,0.684681,1,37,65.26
1148,13762.47,triangle,0.6176,24.14,13842.77,0.583508,1,46,105.34
1149,10584.66,sine,0.4847,32.90,10698.24,1.073055,1,48,122.17
1150,15159.08,sine,0.4648,25.38,15292.97,0.883224,1,13,41.27
1151,4774.00,triangle,0.9183,27.40,4804.69,0.642791,1,33,130.45
1152,15274.30,triangle,0.8615,23.66,15380.86,0.697641,1,11,35.88
1153,19169.55,square,0.4053,21.25,19282.23,0.587812,1,2,13.35
1154,10237.30,sine,0.3237,26.34,10356.45,1.163841,1,58,208.88
1155,16367.70,triangle,0.3722,37.17,16435.55,0.414516,1,55,105.92
1156,17287.39,triangle,0.2320,33.81,17402.34,0.664970,1,37,44.74
1157,18955.46,triangle,0.3985,30.01,19067.38,0.590466,1,6,5.90
1158,13268.78,square,0.2080,26.24,13359.38,0.682800,1,57,70.20
1159,16245.52,triangle,0.2236,39.05,16328.12,0.508450,1,57,58.32
1160,7247.63,square,0.7766,36.24,7373.05,1.730457,1,59,68.61
1161,18969.24,sine,0.8727,22.63,19067.38,0.517356,1,6,6.31
1162,14395.78,triangle,0.7100,25.05,14501.95,0.737549,1,31,33.22
1163,17587.82,sine,0.1483,34.35,17670.90,0.472365,1,32,24.72
1164,10034.04,triangle,0.4451,23.37,10117.19,0.828668,1,65,62.01
1165,16892.40,square,0.2703,34.41,16972.66,0.475093,1,45,56.50
1166,10711.16,square,0.5148,36.57,10800.78,0.836717,1,45,50.85
1167,16761.69,triangle,0.1949,36.78,16865.23,0.617735,1,47,47.91
1168,13749.25,triangle,0.4267,37.59,13842.77,0.680232,1,46,48.81
1169,14782.06,sine,0.4670,37.73,14897.46,0.780680,1,22,22.48
1170,1896.74,triangle,0.7112,32.63,1904.30,0.398555,1,231,167.29
1171,6140.63,sine,0.9479,25.97,6225.59,1.383573,1,106,91.97
1172,15734.60,square,0.2253,20.21,15820.31,0.544735,1,1,1.37
1173,11340.89,triangle,0.4322,27.14,11450.20,0.963821,1,26,26.16
1174,7537.74,square,0.4966,37.60,7666.02,1.701768,1,47,55.32
1175,10604.90,square,0.2245,39.65,10732.42,1.202528,1,47,45.45
1176,5749.48,sine,0.6968,31.91,5834.96,1.486672,1,122,100.78
1177,8887.77,square,0.8066,23.91,8989.26,1.141911,1,98,105.37
1178,16584.81,square,0.4771,29.16,16704.10,0.719263,1,50,59.12
1179,5876.30,triangle,0.5616,26.42,5957.03,1.373898,1,117,109.30
1180,12324.95,triangle,0.4917,38.41,12392.58,0.548691,1,79,75.23
1181,7555.32,sine,0.2838,28.37,7690.43,1.788273,1,46,45.18
1182,5173.06,sine,0.9235,36.88,5249.02,1.468372,1,146,118.83
1183,15103.55,sine,0.2083,21.35,15205.08,0.672198,1,15,13.86
